YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,B6,2023,N324JB,JFK,SJU,535,618,43,13,631,225,201,184,1598,1035,4,1020,1039,19,0,0,,0,0,19,0,0
2015,1,1,4,AA,2299,N3LLAA,JFK,MIA,545,640,55,17,657,185,199,152,1089,929,30,850,959,69,0,0,,14,0,55,0,0
2015,1,1,4,B6,939,N794JB,JFK,BQN,545,545,0,17,602,221,202,180,1576,1002,5,1026,1007,-19,0,0,,,,,,
2015,1,1,4,B6,353,N570JB,JFK,PBI,600,554,-6,16,610,178,162,142,1028,832,4,858,836,-22,0,0,,,,,,
2015,1,1,4,B6,583,N531JB,JFK,MCO,600,557,-3,16,613,171,155,135,944,828,4,851,832,-19,0,0,,,,,,
2015,1,1,4,B6,525,N645JB,JFK,TPA,600,554,-6,21,615,181,186,157,1005,852,8,901,900,-1,0,0,,,,,,
2015,1,1,4,DL,421,N967DL,JFK,ATL,600,605,5,18,623,163,139,117,760,820,4,843,824,-19,0,0,,,,,,
2015,1,1,4,UA,415,N509UA,JFK,SFO,605,605,0,20,625,404,400,368,2586,933,12,949,945,-4,0,0,,,,,,
2015,1,1,4,B6,601,N559JB,JFK,FLL,605,603,-2,17,620,188,188,148,1069,848,23,913,911,-2,0,0,,,,,,
2015,1,1,4,B6,1403,N763JB,JFK,SJU,614,612,-2,15,627,223,202,182,1598,1029,5,1057,1034,-23,0,0,,,,,,
2015,1,1,4,US,433,N601AW,JFK,PHX,630,628,-2,17,645,348,355,334,2153,1019,4,1018,1023,5,0,0,,,,,,
2015,1,1,4,B6,23,N937JB,JFK,LAX,630,627,-3,16,643,377,384,358,2475,941,10,947,951,4,0,0,,,,,,
2015,1,1,4,B6,929,N526JB,JFK,RSW,630,628,-2,14,642,195,180,162,1074,924,4,945,928,-17,0,0,,,,,,
2015,1,1,4,B6,675,N294JB,JFK,MSY,633,625,-8,23,648,211,221,194,1182,902,4,904,906,2,0,0,,,,,,
2015,1,1,4,AA,1441,N3GYAA,JFK,LAS,635,656,21,24,720,350,374,342,2248,1002,8,925,1010,45,0,0,,24,0,21,0,0
2015,1,1,4,B6,318,N183JB,JFK,BOS,645,638,-7,23,701,71,66,38,187,739,5,756,744,-12,0,0,,,,,,
2015,1,1,4,AA,1101,N5ENAA,JFK,MIA,652,649,-3,29,718,198,194,153,1089,951,12,1010,1003,-7,0,0,,,,,,
2015,1,1,4,B6,2702,N571JB,JFK,BUF,655,645,-10,18,703,94,82,62,301,805,2,829,807,-22,0,0,,,,,,
2015,1,1,4,B6,15,N944JB,JFK,SFO,659,659,0,16,715,404,380,350,2586,1005,14,1043,1019,-24,0,0,,,,,,
2015,1,1,4,B6,453,N652JB,JFK,PBI,659,655,-4,13,708,183,164,143,1028,931,8,1002,939,-23,0,0,,,,,,
2015,1,1,4,VX,399,N852VA,JFK,LAX,700,655,-5,18,713,385,392,360,2475,1013,14,1025,1027,2,0,0,,,,,,
2015,1,1,4,AA,9,N792AA,JFK,LAX,700,649,-11,22,711,380,397,368,2475,1019,7,1020,1026,6,0,0,,,,,,
2015,1,1,4,DL,424,N194DN,JFK,LAX,700,702,2,24,726,400,388,356,2475,1022,8,1040,1030,-10,0,0,,,,,,
2015,1,1,4,DL,2365,N399DA,JFK,SJU,700,659,-1,33,732,230,220,180,1598,1132,7,1150,1139,-11,0,0,,,,,,
2015,1,1,4,DL,46,N704X,JFK,SFO,700,700,0,33,733,403,386,343,2586,1016,10,1043,1026,-17,0,0,,,,,,
2015,1,1,4,AA,2393,N3APAA,JFK,MCO,700,857,117,39,936,185,185,141,944,1157,5,1005,1202,117,0,0,,0,0,117,0,0
2015,1,1,4,B6,3,N913JB,JFK,SJU,714,711,-3,17,728,233,202,181,1598,1129,4,1207,1133,-34,0,0,,,,,,
